eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Malabar Pied-Hornbill,Anthracoceros coronatus,10,0,0,0,10,0,70,0,0,10,FruiNect,Ref_6,A,Hamish,0,0,20,20,60,0,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Oriental Pied-Hornbill,Anthracoceros albirostris,20,10,10,0,0,0,60,0,0,0,FruiNect,Ref_6,A,Hamish,0,0,40,20,30,10,0,0,Ref_6,1,Walter,,,,,,,,,,,,
Brown Hornbill,Anorrhinus austeni,10,10,20,0,0,0,60,0,0,0,FruiNect,Ref_6,A,Hamish,0,0,20,10,10,60,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Malabar Gray Hornbill,Ocyceros griseus,10,0,10,0,0,0,80,0,0,0,FruiNect,Ref_6,A,Hamish,0,0,20,0,60,20,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Indian Gray Hornbill,Ocyceros birostris,0,10,10,0,0,0,80,0,0,0,FruiNect,Ref_6,A,Hamish,0,0,20,10,40,20,10,0,Ref_6,1,Christian,,,,,,,,,,,,
Rufous-necked Hornbill,Aceros nipalensis,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_6,A,Hamish,0,0,10,0,0,90,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Narcondam Hornbill,Rhyticeros narcondami,10,0,10,0,0,0,80,0,0,0,FruiNect,Ref_6,A,,,,,,,,,,,,,,,,,,,,,,,,
Wreathed Hornbill,Rhyticeros undulatus,10,0,10,0,0,0,80,0,0,0,FruiNect,Ref_6,A,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Hoopoe,Upupa epops,80,0,20,0,0,0,0,0,0,0,Invertebrate,Ref_6,A,Hamish,0,0,100,0,0,0,0,0,Ref_6,1,Christian,,,,,,,,,,,,
Yellow-rumped Honeyguide,Indicator xanthonotus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_7,A,Jennifer,0,0,0,50,50,0,0,0,Ref_7,1,Jessica,,,,,,,,,,,,
