Rank,eBird Scientific Name 2019,Scientific Name
ssp,Dendragapus obscurus oreinus,
ssp,Dendragapus obscurus obscurus,
species,Dendragapus fuliginosus,Dendragapus fuliginosus
ssp,Dendragapus fuliginosus sitkensis,
ssp,Dendragapus fuliginosus fuliginosus,
ssp,Dendragapus fuliginosus sierrae,
ssp,Dendragapus fuliginosus howardi,
species,Tympanuchus phasianellus,Tympanuchus phasianellus
ssp,Tympanuchus phasianellus caurus,
ssp,Tympanuchus phasianellus kennicotti,
ssp,Tympanuchus phasianellus phasianellus,
ssp,Tympanuchus phasianellus columbianus,
ssp,,
ssp,Tympanuchus phasianellus jamesi,
ssp,Tympanuchus phasianellus campestris,
species,Tympanuchus pallidicinctus,Tympanuchus pallidicinctus
