"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
195,"Caspian Tern","Hydroprogne caspia","Caspian Tern","Caspian Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-57.7250609,31.59993238,2.976273077,14.437333,19.6859646,0.0555000000000021,"Moderate Decline","Uncertain","Moderate","Moderate","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","Resident-Non-Endemics",""
196,"Whiskered Tern","Chlidonias hybrida","Whiskered Tern","Whiskered Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-51.32306749,15.02628821,-11.25310227,3.387230038,16.9316365,0.0717999999999996,"Moderate Decline","Strong Decline","Moderate","Moderate","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","Resident-Non-Endemics",""
197,"Common Tern","Sterna hirundo","Common Tern","Common Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","","X",NA,NA,0.814251398,16.86703824,8.0744032,0.059899999999999,"Data Deficient","Uncertain","Moderate","Low","Migratory-Local","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
198,"Black-bellied Tern","Sterna acuticauda","Black-bellied Tern","Black-bellied Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Endangered","Schedule-IV","","",NA,NA,NA,NA,4.1624851,0.0678000000000001,"Data Deficient","Data Deficient","Restricted","High","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
199,"River Tern","Sterna aurantia","River Tern","River Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Near Threatened","Schedule-IV","X","X",-41.21288222,13.431522,-5.239938812,3.352677677,125.3275942,0.0887000000000029,"Moderate Decline","Moderate Decline","Very Large","Moderate","Resident","Omnivore","X","","","","Gulls & Terns","Wetlands","Resident-Non-Endemics",""
200,"Greater Crested Tern","Thalasseus bergii","Great Crested Tern","Great Crested Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","","X",NA,NA,24.16049359,20.41906532,8.8675196,0.0434000000000001,"Data Deficient","Strong Increase","Moderate","Low","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
201,"Lesser Crested Tern","Thalasseus bengalensis","Lesser Crested Tern","Lesser Crested Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","","X",NA,NA,11.64265251,49.87839382,9.2644568,0.0449999999999999,"Data Deficient","Uncertain","Moderate","Low","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
202,"Indian Skimmer","Rynchops albicollis","Indian Skimmer","Indian Skimmer","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,3.4796179,0.0569999999999999,"Data Deficient","Data Deficient","Restricted","High","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
203,"Asian Openbill","Anastomus oscitans","Asian Openbill","Asian Openbill","Storks","Ciconiiformes","Ciconiidae (Storks)","Least Concern","Schedule-IV","X","X",32.52576988,24.4560931,-7.738763185,2.392417057,158.779125,0.0855999999999995,"Stable","Strong Decline","Very Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
204,"Black Stork","Ciconia nigra","Black Stork","Black Stork","Storks","Ciconiiformes","Ciconiidae (Storks)","Least Concern","Schedule-IV","X","X",-47.8973597,31.10862047,-12.29876614,6.952771671,23.7433947,0.0767999999999986,"Uncertain","Strong Decline","Moderate","Moderate","Migratory-Long-Distance","VertFishScav","X","","","","","Wetlands","",""
205,"Woolly-necked Stork","Ciconia episcopus","Woolly-necked Stork","Woolly-necked Stork","Storks","Ciconiiformes","Ciconiidae (Storks)","Vulnerable","Schedule-IV","X","X",-23.95399251,18.09461863,-6.175584738,3.531689873,120.4472106,0.100699999999989,"Stable","Moderate Decline","Very Large","Low","Resident","VertFishScav","","","","","","Generalists","Resident-Non-Endemics","Carnivorous"
206,"Black-necked Stork","Ephippiorhynchus asiaticus","Black-necked Stork","Black-necked Stork","Storks","Ciconiiformes","Ciconiidae (Storks)","Near Threatened","Schedule-IV","X","X",-38.94509223,32.1054529,-12.51382175,5.339242177,20.5625879,0.0747999999999998,"Uncertain","Strong Decline","Moderate","Moderate","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
207,"Lesser Adjutant","Leptoptilos javanicus","Lesser Adjutant","Lesser Adjutant","Storks","Ciconiiformes","Ciconiidae (Storks)","Vulnerable","Schedule-IV","X","X",-25.14794291,43.98710828,-1.506219105,10.12643504,20.7500653,0.0682000000000009,"Uncertain","Uncertain","Moderate","Moderate","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
208,"Greater Adjutant","Leptoptilos dubius","Greater Adjutant","Greater Adjutant","Storks","Ciconiiformes","Ciconiidae (Storks)","Endangered","Schedule-IV","","",NA,NA,NA,NA,4.6349154,0.0773999999999999,"Data Deficient","Data Deficient","Moderate","High","Resident","VertFishScav","","","","","","Generalists","","Carnivorous"
209,"Painted Stork","Mycteria leucocephala","Painted Stork","Painted Stork","Storks","Ciconiiformes","Ciconiidae (Storks)","Near Threatened","Schedule-IV","X","X",42.05512916,33.17113706,-3.26892361,3.671747588,123.9309346,0.0803999999999974,"Uncertain","Uncertain","Very Large","Moderate","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
210,"Oriental Darter","Anhinga melanogaster","Oriental Darter","Oriental Darter","Cormorants and Anhingas","Suliformes","Anhingidae (Anhingas)","Near Threatened","Schedule-IV","X","X",18.48815919,26.65879346,-5.577107524,2.984534752,105.4360959,0.0921000000000021,"Uncertain","Moderate Decline","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
211,"Little Cormorant","Microcarbo niger","Little Cormorant","Little Cormorant","Cormorants and Anhingas","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Least Concern","Schedule-IV","X","X",23.85712965,15.38633414,-6.127145668,1.598169775,196.8706238,0.0800999999999874,"Stable","Strong Decline","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
212,"Great Cormorant","Phalacrocorax carbo","Great Cormorant","Great Cormorant","Cormorants and Anhingas","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Least Concern","Schedule-IV","X","X",-3.24826992,21.51818425,-0.76269856,3.658777858,24.428336,0.0790999999999968,"Stable","Uncertain","Moderate","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
213,"Indian Cormorant","Phalacrocorax fuscicollis","Indian Cormorant","Indian Cormorant","Cormorants and Anhingas","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Least Concern","Schedule-IV","X","X",67.97484475,30.41054936,-6.198578597,2.19386578,151.4903669,0.106500000000011,"Moderate Increase","Strong Decline","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
214,"Great White Pelican","Pelecanus onocrotalus","Great White Pelican","Great White Pelican","Pelicans","Pelecaniformes","Pelecanidae (Pelicans)","Least Concern","Schedule-IV","X","X",31.63538206,129.457216,-2.545858082,19.02224834,17.8606106,0.0716999999999999,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","VertFishScav","X","","","","","Wetlands","",""
215,"Spot-billed Pelican","Pelecanus philippensis","Spot-billed Pelican","Spot-billed Pelican","Pelicans","Pelecaniformes","Pelecanidae (Pelicans)","Near Threatened","Schedule-IV","X","X",147.1342332,131.0525645,-5.205033516,7.765206834,23.1709003,0.0503999999999998,"Uncertain","Uncertain","Moderate","Moderate","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
216,"Dalmatian Pelican","Pelecanus crispus","Dalmatian Pelican","Dalmatian Pelican","Pelicans","Pelecaniformes","Pelecanidae (Pelicans)","Near Threatened","Schedule-IV","","X",NA,NA,0.598252616,21.95352657,11.2239282,0.1021,"Data Deficient","Uncertain","Moderate","Moderate","Migratory-Long-Distance","VertFishScav","X","","","","","Wetlands","",""
217,"Yellow Bittern","Ixobrychus sinensis","Yellow Bittern","Yellow Bittern","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-3.199790882,33.13016801,-2.336592149,5.182507502,15.0545408,0.0798000000000005,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
218,"Cinnamon Bittern","Ixobrychus cinnamomeus","Cinnamon Bittern","Cinnamon Bittern","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-67.06191591,10.88144922,-11.23180829,3.885776179,19.8247606,0.0797999999999988,"Strong Decline","Strong Decline","Moderate","High","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
219,"Black Bittern","Ixobrychus flavicollis","Black Bittern","Black Bittern","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",6.121398125,43.81037061,-10.41318142,3.992347426,11.3087396,0.100300000000001,"Uncertain","Strong Decline","Moderate","Moderate","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
220,"Grey Heron","Ardea cinerea","Gray Heron","Gray Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-9.354290319,15.16433019,-3.562939567,2.625310883,164.8576021,0.0922999999999945,"Stable","Uncertain","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
221,"White-bellied Heron","Ardea insignis","White-bellied Heron","White-bellied Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Critically Endangered","Schedule-I","","",NA,NA,NA,NA,0.0625,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","",""
222,"Purple Heron","Ardea purpurea","Purple Heron","Purple Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",21.12197557,21.17359818,-7.997018955,2.114084203,145.3914269,0.0951000000000022,"Stable","Strong Decline","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
223,"Great Egret","Ardea alba","Great Egret","Great Egret","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-10.59793757,13.25242927,-6.553737746,1.963235871,171.0963378,0.102000000000004,"Stable","Strong Decline","Very Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
224,"Intermediate Egret","Ardea intermedia","Intermediate Egret","Intermediate Egret","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-12.82399479,11.66814412,-8.65001,1.619489916,178.0430103,0.0997000000000128,"Stable","Strong Decline","Very Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
225,"Little Egret","Egretta garzetta","Little Egret","Little Egret","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-22.44374419,9.255148434,-6.978720739,1.559314352,195.9122806,0.0826999999999884,"Stable","Strong Decline","Very Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
226,"Western Reef Egret","Egretta gularis","Western Reef-Heron","Western Reef-Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-39.87703236,35.74616312,-4.932275789,9.05595948,6.3514427,0.0552999999999999,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
227,"Cattle Egret","Bubulcus ibis","Cattle Egret","Cattle Egret","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",16.73773102,12.33075759,-4.331993793,1.381322817,214.7180666,0.0711000000000013,"Stable","Strong Decline","Very Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
228,"Indian Pond Heron","Ardeola grayii","Indian Pond-Heron","Indian Pond-Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-4.998490377,10.5741962,-4.189560677,1.578919057,207.7181942,0.0745000000000005,"Stable","Moderate Decline","Very Large","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
229,"Striated Heron","Butorides striata","Striated Heron","Striated Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",-17.56365201,21.29568597,-1.856344627,4.209168059,92.1581429,0.134299999999996,"Stable","Uncertain","Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
230,"Black-crowned Night Heron","Nycticorax nycticorax","Black-crowned Night-Heron","Black-crowned Night-Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","X","X",12.28367706,23.45939205,-0.726791642,3.045441564,127.7858262,0.120699999999999,"Stable","Uncertain","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
231,"Malayan Night Heron","Gorsachius melanolophus","Malayan Night-Heron","Malayan Night-Heron","Herons, Ibis, and Allies","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,6.1720565,0.0674999999999999,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
232,"Glossy Ibis","Plegadis falcinellus","Glossy Ibis","Glossy Ibis","Herons, Ibis, and Allies","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Least Concern","Schedule-IV","X","X",139.6263729,62.76074263,-0.151710215,4.109886309,98.4723627,0.0814999999999912,"Strong Increase","Uncertain","Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
233,"Black-headed Ibis","Threskiornis melanocephalus","Black-headed Ibis","Black-headed Ibis","Herons, Ibis, and Allies","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Near Threatened","Schedule-IV","X","X",79.9413855,37.09936718,-2.390016074,3.058738705,137.2328678,0.0849000000000046,"Moderate Increase","Uncertain","Very Large","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
234,"Indian Black Ibis","Pseudibis papillosa","Red-naped Ibis","Red-naped Ibis","Herons, Ibis, and Allies","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Least Concern","Schedule-IV","X","X",100.5255096,46.60690794,-2.439848533,3.423051524,136.1173473,0.0755999999999801,"Strong Increase","Uncertain","Very Large","Low","Resident","Omnivore","","","","","","Generalists","Others-Subcontinent","Omnivorous"
235,"Eurasian Spoonbill","Platalea leucorodia","Eurasian Spoonbill","Eurasian Spoonbill","Herons, Ibis, and Allies","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Least Concern","Schedule-I","X","X",-14.88432189,26.8002401,-4.074032077,4.898716693,23.7401741,0.078599999999998,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
236,"Osprey","Pandion haliaetus","Osprey","Osprey","Vultures, Hawks, and Allies","Accipitriformes","Pandionidae (Osprey)","Least Concern","Schedule-I","X","X",-48.43709293,25.93762476,-4.798083345,7.715716815,58.4781034,0.0901999999999958,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","VertFishScav","","X","","Habitat-Open","","Wetlands","","Carnivorous"
237,"Black-winged Kite","Elanus caeruleus","Black-winged Kite","Black-winged Kite","Vultures, Hawks, and Allies","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Least Concern","Schedule-I","X","X",-34.65406947,10.13714129,-5.668566082,2.330659347,197.2834251,0.105500000000006,"Stable","Strong Decline","Very Large","Low","Resident","VertFishScav","","X","","Habitat-Open","","Grassland/Scrub","Resident-Non-Endemics","Carnivorous"
238,"Bearded Vulture","Gypaetus barbatus","Bearded Vulture","Bearded Vulture","Vultures, Hawks, and Allies","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Near Threatened","Schedule-I","X","X",-60.91853084,27.77862698,-10.40227169,8.718887824,15.5303128,0.0633999999999997,"Moderate Decline","Moderate Decline","Moderate","Moderate","Resident","VertFishScav","","X","X","","","Generalists","Resident-Non-Endemics","Carnivorous"
