eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,Least Concern,Schedule-IV,,
Brown-winged Kingfisher,Pelargopsis amauroptera,Brown-winged Kingfisher,Pelargopsis amauroptera,Brown-winged Kingfisher,Pelargopsis amauroptera,Near Threatened,Schedule-IV,,
Stork-billed Kingfisher,Pelargopsis capensis,Stork-billed Kingfisher,Pelargopsis capensis,Stork-billed Kingfisher,Pelargopsis capensis,Least Concern,Schedule-IV,,
Ruddy Kingfisher,Halcyon coromanda,Ruddy Kingfisher,Halcyon coromanda,Ruddy Kingfisher,Halcyon coromanda,Least Concern,Schedule-IV,,
White-throated Kingfisher,Halcyon smyrnensis,White-throated Kingfisher,Halcyon smyrnensis,White-throated Kingfisher,Halcyon smyrnensis,Least Concern,Schedule-IV,,
Black-capped Kingfisher,Halcyon pileata,Black-capped Kingfisher,Halcyon pileata,Black-capped Kingfisher,Halcyon pileata,Least Concern,Schedule-IV,,
Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher,Todiramphus chloris,Least Concern,Schedule-IV,,
Crested Kingfisher,Megaceryle lugubris,Crested Kingfisher,Megaceryle lugubris,Crested Kingfisher,Megaceryle lugubris,Least Concern,Schedule-IV,,
Pied Kingfisher,Ceryle rudis,Pied Kingfisher,Ceryle rudis,Pied Kingfisher,Ceryle rudis,Least Concern,Schedule-IV,,
Blue-bearded Bee-eater,Nyctyornis athertoni,Blue-bearded Bee-eater,Nyctyornis athertoni,Blue-bearded Bee-eater,Nyctyornis athertoni,Least Concern,Schedule-IV,,
Green Bee-eater,Merops orientalis,Green Bee-eater,Merops orientalis,Green Bee-eater,Merops orientalis,Least Concern,Schedule-IV,,
Blue-throated Bee-eater,Merops viridis,Blue-throated Bee-eater,Merops viridis,Blue-throated Bee-eater,Merops viridis,Least Concern,Schedule-IV,,
Blue-cheeked Bee-eater,Merops persicus,Blue-cheeked Bee-eater,Merops persicus,Blue-cheeked Bee-eater,Merops persicus,Least Concern,Schedule-IV,,
Blue-tailed Bee-eater,Merops philippinus,Blue-tailed Bee-eater,Merops philippinus,Blue-tailed Bee-eater,Merops philippinus,Least Concern,Schedule-IV,,
European Bee-eater,Merops apiaster,European Bee-eater,Merops apiaster,European Bee-eater,Merops apiaster,Least Concern,Schedule-IV,,Appendix II
Chestnut-headed Bee-eater,Merops leschenaulti,Chestnut-headed Bee-eater,Merops leschenaulti,Chestnut-headed Bee-eater,Merops leschenaulti,Least Concern,Schedule-IV,,
European Roller,Coracias garrulus,European Roller,Coracias garrulus,European Roller,Coracias garrulus,Least Concern,Schedule-IV,,Appendix I
Indian Roller,Coracias benghalensis,Indian Roller,Coracias benghalensis,Indian Roller,Coracias benghalensis,Least Concern,Schedule-IV,,
Dollarbird,Eurystomus orientalis,Dollarbird,Eurystomus orientalis,Dollarbird,Eurystomus orientalis,Least Concern,Schedule-IV,,
Malabar Barbet,Psilopogon malabaricus,Malabar Barbet,Psilopogon malabaricus,Malabar Barbet,Psilopogon malabaricus,Least Concern,Schedule-IV,,
Coppersmith Barbet,Psilopogon haemacephalus,Coppersmith Barbet,Psilopogon haemacephalus,Coppersmith Barbet,Psilopogon haemacephalus,Least Concern,Schedule-IV,,
Blue-eared Barbet,Psilopogon duvaucelii,Blue-eared Barbet,Psilopogon duvaucelii,Blue-eared Barbet,Psilopogon duvaucelii,Least Concern,Schedule-IV,,
Great Barbet,Psilopogon virens,Great Barbet,Psilopogon virens,Great Barbet,Psilopogon virens,Least Concern,Schedule-IV,,
Lineated Barbet,Psilopogon lineatus,Lineated Barbet,Psilopogon lineatus,Lineated Barbet,Psilopogon lineatus,Least Concern,Schedule-IV,,
Brown-headed Barbet,Psilopogon zeylanicus,Brown-headed Barbet,Psilopogon zeylanicus,Brown-headed Barbet,Psilopogon zeylanicus,Least Concern,Schedule-IV,,
White-cheeked Barbet,Psilopogon viridis,White-cheeked Barbet,Psilopogon viridis,White-cheeked Barbet,Psilopogon viridis,Least Concern,Schedule-IV,,
Golden-throated Barbet,Psilopogon franklinii,Golden-throated Barbet,Psilopogon franklinii,Golden-throated Barbet,Psilopogon franklinii,Least Concern,Schedule-IV,,
Blue-throated Barbet,Psilopogon asiaticus,Blue-throated Barbet,Psilopogon asiaticus,Blue-throated Barbet,Psilopogon asiaticus,Least Concern,Schedule-IV,,
Yellow-rumped Honeyguide,Indicator xanthonotus,Yellow-rumped Honeyguide,Indicator xanthonotus,Yellow-rumped Honeyguide,Indicator xanthonotus,Near Threatened,Schedule-IV,,
Eurasian Wryneck,Jynx torquilla,Eurasian Wryneck,Jynx torquilla,Eurasian Wryneck,Jynx torquilla,Least Concern,Schedule-IV,,
Speckled Piculet,Picumnus innominatus,Speckled Piculet,Picumnus innominatus,Speckled Piculet,Picumnus innominatus,Least Concern,Schedule-IV,,
White-browed Piculet,Sasia ochracea,White-browed Piculet,Sasia ochracea,White-browed Piculet,Sasia ochracea,Least Concern,Schedule-IV,,
Heart-spotted Woodpecker,Hemicircus canente,Heart-spotted Woodpecker,Hemicircus canente,Heart-spotted Woodpecker,Hemicircus canente,Least Concern,Schedule-IV,,
Brown-capped Woodpecker,Yungipicus nanus,Brown-capped Pygmy Woodpecker,Dendrocopos nanus,Brown-capped Woodpecker,Yungipicus nanus,Least Concern,Schedule-IV,,
Gray-capped Woodpecker,Yungipicus canicapillus,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus,Gray-capped Woodpecker,Yungipicus canicapillus,Least Concern,Schedule-IV,,
Yellow-crowned Woodpecker,Leiopicus mahrattensis,Yellow-fronted Pied Woodpecker,Leiopicus mahrattensis,Yellow-crowned Woodpecker,Leiopicus mahrattensis,Least Concern,Schedule-IV,,
Brown-fronted Woodpecker,Dendrocoptes auriceps,Brown-fronted Pied Woodpecker,Dendrocopos auriceps,Brown-fronted Woodpecker,Dendrocoptes auriceps,Least Concern,Schedule-IV,,
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Least Concern,Schedule-IV,,
Fulvous-breasted Woodpecker,Dendrocopos macei,Fulvous-breasted Pied Woodpecker,Dendrocopos macei,Fulvous-breasted Woodpecker,Dendrocopos macei,Least Concern,Schedule-IV,,
Freckle-breasted Woodpecker,Dendrocopos analis,Spot-breasted Pied Woodpecker,Dendrocopos analis,Freckle-breasted Woodpecker,Dendrocopos analis,Least Concern,Schedule-IV,,
Stripe-breasted Woodpecker,Dendrocopos atratus,Stripe-breasted Pied Woodpecker,Dendrocopos atratus,Stripe-breasted Woodpecker,Dendrocopos atratus,Least Concern,Schedule-IV,,
Darjeeling Woodpecker,Dendrocopos darjellensis,Darjeeling Pied Woodpecker,Dendrocopos darjellensis,Darjeeling Woodpecker,Dendrocopos darjellensis,Least Concern,Schedule-IV,,
Great Spotted Woodpecker,Dendrocopos major,Great Spotted Woodpecker,Dendrocopos major,Great Spotted Woodpecker,Dendrocopos major,Least Concern,Schedule-IV,,
Himalayan Woodpecker,Dendrocopos himalayensis,Himalayan Pied Woodpecker,Dendrocopos himalayensis,Himalayan Woodpecker,Dendrocopos himalayensis,Least Concern,Schedule-IV,,
Sind Woodpecker,Dendrocopos assimilis,Sind Pied Woodpecker,Dendrocopos assimilis,Sind Woodpecker,Dendrocopos assimilis,Least Concern,Schedule-IV,,
Crimson-breasted Woodpecker,Dryobates cathpharius,Crimson-breasted Pied Woodpecker,Dendrocopos cathpharius,Crimson-breasted Woodpecker,Dryobates cathpharius,Least Concern,Schedule-IV,,
Bay Woodpecker,Blythipicus pyrrhotis,Bay Woodpecker,Blythipicus pyrrhotis,Bay Woodpecker,Blythipicus pyrrhotis,Least Concern,Schedule-IV,,
Greater Flameback,Chrysocolaptes guttacristatus,Greater Golden-backed Woodpecker,Chrysocolaptes guttacristatus,Greater Flameback,Chrysocolaptes guttacristatus,Least Concern,Schedule-IV,,
White-naped Woodpecker,Chrysocolaptes festivus,White-naped Woodpecker,Chrysocolaptes festivus,White-naped Woodpecker,Chrysocolaptes festivus,Least Concern,Schedule-IV,,
Rufous Woodpecker,Micropternus brachyurus,Rufous Woodpecker,Micropternus brachyurus,Rufous Woodpecker,Micropternus brachyurus,Least Concern,Schedule-IV,,
Pale-headed Woodpecker,Gecinulus grantia,Pale-headed Woodpecker,Gecinulus grantia,Pale-headed Woodpecker,Gecinulus grantia,Least Concern,Schedule-IV,,
Himalayan Flameback,Dinopium shorii,Himalayan Golden-backed Woodpecker,Dinopium shorii,Himalayan Flameback,Dinopium shorii,Least Concern,Schedule-IV,,
Common Flameback,Dinopium javanense,Common Golden-backed Woodpecker,Dinopium javanense,Common Flameback,Dinopium javanense,Least Concern,Schedule-IV,,
Black-rumped Flameback,Dinopium benghalense,Lesser Golden-backed Woodpecker,Dinopium benghalense,Black-rumped Flameback,Dinopium benghalense,Least Concern,Schedule-IV,,
Lesser Yellownape,Picus chlorolophus,Lesser Yellow-naped Woodpecker,Picus chlorolophus,Lesser Yellownape,Picus chlorolophus,Least Concern,Schedule-IV,,
Streak-throated Woodpecker,Picus xanthopygaeus,Streak-throated Woodpecker,Picus xanthopygaeus,Streak-throated Woodpecker,Picus xanthopygaeus,Least Concern,Schedule-IV,,
Scaly-bellied Woodpecker,Picus squamatus,Scaly-bellied Woodpecker,Picus squamatus,Scaly-bellied Woodpecker,Picus squamatus,Least Concern,Schedule-IV,,
Gray-headed Woodpecker,Picus canus,Grey-headed Woodpecker,Picus canus,Gray-headed Woodpecker,Picus canus,Least Concern,Schedule-IV,,
Greater Yellownape,Chrysophlegma flavinucha,Greater Yellow-naped Woodpecker,Chrysophlegma flavinucha,Greater Yellownape,Chrysophlegma flavinucha,Least Concern,Schedule-IV,,
Great Slaty Woodpecker,Mulleripicus pulverulentus,Great Slaty Woodpecker,Mulleripicus pulverulentus,Great Slaty Woodpecker,Mulleripicus pulverulentus,Vulnerable,Schedule-IV,,
White-bellied Woodpecker,Dryocopus javensis,White-bellied Woodpecker,Dryocopus javensis,White-bellied Woodpecker,Dryocopus javensis,Least Concern,Schedule-IV,,
Andaman Woodpecker,Dryocopus hodgei,Andaman Woodpecker,Dryocopus hodgei,Andaman Woodpecker,Dryocopus hodgei,Vulnerable,Schedule-IV,,
Collared Falconet,Microhierax caerulescens,Collared Falconet,Microhierax caerulescens,Collared Falconet,Microhierax caerulescens,Least Concern,Schedule-IV,Appendix II,Appendix II
Pied Falconet,Microhierax melanoleucos,Pied Falconet,Microhierax melanoleucos,Pied Falconet,Microhierax melanoleucos,Least Concern,Schedule-IV,Appendix II,Appendix II
Lesser Kestrel,Falco naumanni,Lesser Kestrel,Falco naumanni,Lesser Kestrel,Falco naumanni,Least Concern,Schedule-IV,Appendix II,Appendix I
Eurasian Kestrel,Falco tinnunculus,Common Kestrel,Falco tinnunculus,Eurasian Kestrel,Falco tinnunculus,Least Concern,Schedule-IV,Appendix II,Appendix II
Red-necked Falcon,Falco chicquera,Red-necked Falcon,Falco chicquera,Red-necked Falcon,Falco chicquera,Near Threatened,Schedule-I,Appendix II,Appendix II
Red-footed Falcon,Falco vespertinus,Red-footed Falcon,Falco vespertinus,Red-footed Falcon,Falco vespertinus,Near Threatened,Schedule-IV,Appendix II,Appendix I
Amur Falcon,Falco amurensis,Amur Falcon,Falco amurensis,Amur Falcon,Falco amurensis,Least Concern,Schedule-IV,Appendix II,Appendix II
Merlin,Falco columbarius,Merlin,Falco columbarius,Merlin,Falco columbarius,Least Concern,Schedule-IV,Appendix II,Appendix II
Eurasian Hobby,Falco subbuteo,Eurasian Hobby,Falco subbuteo,Eurasian Hobby,Falco subbuteo,Least Concern,Schedule-IV,Appendix II,Appendix II
Oriental Hobby,Falco severus,Oriental Hobby,Falco severus,Oriental Hobby,Falco severus,Least Concern,Schedule-IV,Appendix II,Appendix II
Laggar Falcon,Falco jugger,Laggar Falcon,Falco jugger,Laggar Falcon,Falco jugger,Near Threatened,Schedule-I,Appendix I,Appendix II
Saker Falcon,Falco cherrug,Saker Falcon,Falco cherrug,Saker Falcon,Falco cherrug,Endangered,Schedule-I,Appendix II,Appendix I
Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Falco peregrinus,Least Concern,Schedule-I,Appendix I,Appendix II
Alexandrine Parakeet,Psittacula eupatria,Alexandrine Parakeet,Psittacula eupatria,Alexandrine Parakeet,Psittacula eupatria,Near Threatened,Schedule-IV,Appendix II,
Rose-ringed Parakeet,Psittacula krameri,Rose-ringed Parakeet,Psittacula krameri,Rose-ringed Parakeet,Psittacula krameri,Least Concern,Schedule-IV,,
Slaty-headed Parakeet,Psittacula himalayana,Slaty-headed Parakeet,Psittacula himalayana,Slaty-headed Parakeet,Psittacula himalayana,Least Concern,Schedule-IV,Appendix II,
Gray-headed Parakeet,Psittacula finschii,Grey-headed Parakeet,Psittacula finschii,Gray-headed Parakeet,Psittacula finschii,Near Threatened,Schedule-IV,Appendix II,
Plum-headed Parakeet,Psittacula cyanocephala,Plum-headed Parakeet,Psittacula cyanocephala,Plum-headed Parakeet,Psittacula cyanocephala,Least Concern,Schedule-IV,Appendix II,
Blossom-headed Parakeet,Psittacula roseata,Blossom-headed Parakeet,Psittacula roseata,Blossom-headed Parakeet,Psittacula roseata,Near Threatened,Schedule-IV,Appendix II,
Malabar Parakeet,Psittacula columboides,Malabar Parakeet,Psittacula columboides,Malabar Parakeet,Psittacula columboides,Least Concern,Schedule-IV,Appendix II,
Derbyan Parakeet,Psittacula derbiana,Lord Derby's Parakeet,Psittacula derbiana,Derbyan Parakeet,Psittacula derbiana,Near Threatened,Schedule-I,Appendix II,
Red-breasted Parakeet,Psittacula alexandri,Red-breasted Parakeet,Psittacula alexandri,Red-breasted Parakeet,Psittacula alexandri,Near Threatened,Schedule-IV,Appendix II,
Nicobar Parakeet,Psittacula caniceps,Nicobar Parakeet,Psittacula caniceps,Nicobar Parakeet,Psittacula caniceps,Near Threatened,Schedule-IV,Appendix II,
Long-tailed Parakeet,Psittacula longicauda,Long-tailed Parakeet,Psittacula longicauda,Long-tailed Parakeet,Psittacula longicauda,Vulnerable,Schedule-IV,Appendix II,
Vernal Hanging-Parrot,Loriculus vernalis,Vernal Hanging Parrot,Loriculus vernalis,Vernal Hanging-Parrot,Loriculus vernalis,Least Concern,Schedule-IV,Appendix II,
Long-tailed Broadbill,Psarisomus dalhousiae,Long-tailed Broadbill,Psarisomus dalhousiae,Long-tailed Broadbill,Psarisomus dalhousiae,Least Concern,Schedule-IV,,
Silver-breasted Broadbill,Serilophus lunatus,Silver-breasted Broadbill,Serilophus lunatus,Silver-breasted Broadbill,Serilophus lunatus,Least Concern,Schedule-IV,,
Blue-naped Pitta,Hydrornis nipalensis,Blue-naped Pitta,Hydrornis nipalensis,Blue-naped Pitta,Hydrornis nipalensis,Least Concern,Schedule-IV,,
Blue Pitta,Hydrornis cyaneus,Blue Pitta,Hydrornis cyaneus,Blue Pitta,Hydrornis cyaneus,Least Concern,Schedule-IV,,
Indian Pitta,Pitta brachyura,Indian Pitta,Pitta brachyura,Indian Pitta,Pitta brachyura,Least Concern,Schedule-IV,,
Blue-winged Pitta,Pitta moluccensis,Blue-winged Pitta,Pitta moluccensis,Blue-winged Pitta,Pitta moluccensis,Least Concern,Schedule-IV,,
Hooded Pitta,Pitta sordida,Hooded Pitta,Pitta sordida,Hooded Pitta,Pitta sordida,Least Concern,Schedule-IV,,
Mangrove Pitta,Pitta megarhyncha,Mangrove Pitta,Pitta megarhyncha,Mangrove Pitta,Pitta megarhyncha,Near Threatened,Schedule-IV,,
Malabar Woodshrike,Tephrodornis sylvicola,Malabar Woodshrike,Tephrodornis sylvicola,Malabar Woodshrike,Tephrodornis sylvicola,Least Concern,Schedule-IV,,Appendix II
Large Woodshrike,Tephrodornis virgatus,Large Woodshrike,Tephrodornis virgatus,Large Woodshrike,Tephrodornis virgatus,Least Concern,Schedule-IV,,Appendix II
Common Woodshrike,Tephrodornis pondicerianus,Common Woodshrike,Tephrodornis pondicerianus,Common Woodshrike,Tephrodornis pondicerianus,Least Concern,Schedule-IV,,Appendix II
Bar-winged Flycatcher-shrike,Hemipus picatus,Bar-winged Flycatcher-shrike,Hemipus picatus,Bar-winged Flycatcher-shrike,Hemipus picatus,Least Concern,Schedule-IV,,Appendix II
Ashy Woodswallow,Artamus fuscus,Ashy Woodswallow,Artamus fuscus,Ashy Woodswallow,Artamus fuscus,Least Concern,Schedule-IV,,Appendix II
White-breasted Woodswallow,Artamus leucorynchus,White-breasted Woodswallow,Artamus leucoryn,White-breasted Woodswallow,Artamus leucorynchus,Least Concern,Schedule-IV,,Appendix II
Common Iora,Aegithina tiphia,Common Iora,Aegithina tiphia,Common Iora,Aegithina tiphia,Least Concern,Schedule-IV,,
White-tailed Iora,Aegithina nigrolutea,Marshall's Iora,Aegithina nigrolutea,White-tailed Iora,Aegithina nigrolutea,Least Concern,Schedule-IV,,
White-bellied Minivet,Pericrocotus erythropygius,White-bellied Minivet,Pericrocotus erythropygius,White-bellied Minivet,Pericrocotus erythropygius,Least Concern,Schedule-IV,,
Small Minivet,Pericrocotus cinnamomeus,Small Minivet,Pericrocotus cinnamomeus,Small Minivet,Pericrocotus cinnamomeus,Least Concern,Schedule-IV,,
Gray-chinned Minivet,Pericrocotus solaris,Grey-chinned Minivet,Pericrocotus solaris,Gray-chinned Minivet,Pericrocotus solaris,Least Concern,Schedule-IV,,
Short-billed Minivet,Pericrocotus brevirostris,Short-billed Minivet,Pericrocotus brevirostris,Short-billed Minivet,Pericrocotus brevirostris,Least Concern,Schedule-IV,,
Long-tailed Minivet,Pericrocotus ethologus,Long-tailed Minivet,Pericrocotus ethologus,Long-tailed Minivet,Pericrocotus ethologus,Least Concern,Schedule-IV,,
Orange Minivet,Pericrocotus flammeus,Orange Minivet,Pericrocotus flammeus,Orange Minivet,Pericrocotus flammeus,Least Concern,Schedule-IV,,
Scarlet Minivet,Pericrocotus speciosus,Scarlet Minivet,Pericrocotus speciosus,Scarlet Minivet,Pericrocotus speciosus,Least Concern,Schedule-IV,,
Ashy Minivet,Pericrocotus divaricatus,Ashy Minivet,Pericrocotus divaricatus,Ashy Minivet,Pericrocotus divaricatus,Least Concern,Schedule-IV,,
Brown-rumped Minivet,Pericrocotus cantonensis,Swinhoe's Minivet,Pericrocotus cantonensis,Brown-rumped Minivet,Pericrocotus cantonensis,Least Concern,Schedule-IV,,
Rosy Minivet,Pericrocotus roseus,Rosy Minivet,Pericrocotus roseus,Rosy Minivet,Pericrocotus roseus,Least Concern,Schedule-IV,,
Large Cuckooshrike,Coracina macei,Large Cuckooshrike,Coracina javensis,Large Cuckooshrike,Coracina macei,Least Concern,Schedule-IV,,
Andaman Cuckooshrike,Coracina dobsoni,Andaman Cuckooshrike,Coracina dobsoni,Andaman Cuckooshrike,Coracina dobsoni,Near Threatened,Schedule-IV,,
Pied Triller,Lalage nigra,Pied Triller,Lalage nigra,Pied Triller,Lalage nigra,Least Concern,Schedule-IV,,
Black-winged Cuckooshrike,Lalage melaschistos,Black-winged Cuckooshrike,Lalage melaschistos,Black-winged Cuckooshrike,Lalage melaschistos,Least Concern,Schedule-IV,,
Black-headed Cuckooshrike,Lalage melanoptera,Black-headed Cuckooshrike,Lalage melanoptera,Black-headed Cuckooshrike,Lalage melanoptera,Least Concern,Schedule-IV,,
Mangrove Whistler,Pachycephala cinerea,Mangrove Whistler,Pachycephala cinerea,Mangrove Whistler,Pachycephala cinerea,Least Concern,Schedule-IV,,
Red-backed Shrike,Lanius collurio,Red-backed Shrike,Lanius collurio,Red-backed Shrike,Lanius collurio,Least Concern,Schedule-IV,,
Red-tailed Shrike,Lanius phoenicuroides,Red-tailed Shrike,Lanius phoenicuroides,Red-tailed Shrike,Lanius phoenicuroides,Least Concern,Schedule-IV,,
Isabelline Shrike,Lanius isabellinus,Isabelline Shrike,Lanius isabellinus,Isabelline Shrike,Lanius isabellinus,Least Concern,Schedule-IV,,
Brown Shrike,Lanius cristatus,Brown Shrike,Lanius cristatus,Brown Shrike,Lanius cristatus,Least Concern,Schedule-IV,,
Burmese Shrike,Lanius collurioides,Burmese Shrike,Lanius collurioides,Burmese Shrike,Lanius collurioides,Least Concern,Schedule-IV,,
Bay-backed Shrike,Lanius vittatus,Bay-backed Shrike,Lanius vittatus,Bay-backed Shrike,Lanius vittatus,Least Concern,Schedule-IV,,
Long-tailed Shrike,Lanius schach,Long-tailed Shrike,Lanius schach,Long-tailed Shrike,Lanius schach,Least Concern,Schedule-IV,,
Gray-backed Shrike,Lanius tephronotus,Grey-backed Shrike,Lanius tephronotus,Gray-backed Shrike,Lanius tephronotus,Least Concern,Schedule-IV,,
Great Gray Shrike,Lanius excubitor,Great Grey Shrike,Lanius excubitor,Great Gray Shrike,Lanius excubitor,Least Concern,Schedule-IV,,
Lesser Gray Shrike,Lanius minor,Lesser Grey Shrike,Lanius minor,Lesser Gray Shrike,Lanius minor,Least Concern,Schedule-IV,,
Masked Shrike,Lanius nubicus,Masked Shrike,Lanius nubicus,Masked Shrike,Lanius nubicus,Least Concern,Schedule-IV,,
Woodchat Shrike,Lanius senator,Woodchat Shrike,Lanius senator,Woodchat Shrike,Lanius senator,Least Concern,Schedule-IV,,
Black-headed Shrike-Babbler,Pteruthius rufiventer,Black-headed Shrike-babbler,Pteruthius rufiventer,Black-headed Shrike-Babbler,Pteruthius rufiventer,Least Concern,Schedule-IV,,Appendix II
Himalayan Shrike-Babbler,Pteruthius ripleyi,Himalayan Shrike-babbler,Pteruthius ripleyi,Himalayan Shrike-Babbler,Pteruthius ripleyi,Least Concern,Schedule-IV,,Appendix II
Blyth's Shrike-Babbler,Pteruthius aeralatus,Blyth's Shrike-babbler,Pteruthius aeralatus,Blyth's Shrike-Babbler,Pteruthius aeralatus,Least Concern,Schedule-IV,,Appendix II
Green Shrike-Babbler,Pteruthius xanthochlorus,Green Shrike-babbler,Pteruthius xanthochlorus,Green Shrike-Babbler,Pteruthius xanthochlorus,Least Concern,Schedule-IV,,Appendix II
Black-eared Shrike-Babbler,Pteruthius melanotis,Black-eared Shrike-babbler,Pteruthius melanotis,Black-eared Shrike-Babbler,Pteruthius melanotis,Least Concern,Schedule-IV,,Appendix II
